,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,T_pyMelt,T_MELTS,F_MELTS,F_pyMelt,P,Augite,Garnet,Liquid,Olivine,Orthopyroxene,X
20,39.1308700988112,1.87987915251198,8.40435405163232,1.73187439236086,14.911406776109,23.5757308701092,8.04444644879523,2.32143820967017,1484.1926909841955,1531.5999999999922,0.024814400488152123,0.031709651168457226,2680.0,14.2096362328323,10.6097393296813,0.67266014813748,50.6593245254961,19.7386397638528,0.007014914465924289
21,39.1649279548033,1.87148988780062,8.55165663208848,1.72142992125763,14.7985121161582,23.4751269462495,8.069865821579,2.34699072006324,1482.7676172010797,1529.8999999999928,0.026848367741279376,0.03354112345594367,2660.0,14.1605375608645,10.466154776268,0.64766695988638,50.5720081439248,19.8436325590563,0.006768387082102415
22,39.2015530460058,1.85603472005468,8.69579309098411,1.70958433477698,14.6800240918117,23.3950227792911,8.11726512579672,2.34472281127885,1481.3350241427383,1528.5999999999922,0.028475541543781843,0.035387997688621296,2640.0,14.1356351089808,10.3609588769658,0.668799578922814,50.4939018900845,19.870704545046,0.007000937704624879
23,39.2408011005367,1.84181185335818,8.84297641160945,1.69607337499046,14.5636857886742,23.3038126655048,8.15583335029753,2.35500545502873,1479.8951564868046,1527.0999999999926,0.03030611207159526,0.03724976983764507,2620.0,14.0530673666964,10.2102797849734,0.67526450734323,50.3991321880575,20.0122561529295,0.007081956028770108
24,39.2785276830549,1.83314807803107,8.99390082403536,1.68515651158299,14.4487157879148,23.1980486040765,8.17986974800306,2.38263276330135,1478.448235777857,1525.2999999999925,0.03234007932472266,0.0391259823841367,2600.0,14.0037004254462,10.0651981260712,0.647646986029296,50.3132059478334,20.1202485146199,0.006806589448547514
25,39.3132646297916,1.81523511347879,9.13383860919095,1.67193415370438,14.3527336580783,23.1121611373981,8.23149246696982,2.36934023138806,1476.994463334873,1523.9999999999927,0.03396725312722353,0.04101621838095842,2580.0,13.9979073368852,9.91262724098199,0.682583955810504,50.2509176845678,20.1459637817546,0.007185850677023932
26,39.353670567347,1.80513382955109,9.28602631319774,1.66025210701843,14.2369741995837,23.0061101320228,8.25815935679915,2.39367349448008,1475.5340226977476,1522.1999999999935,0.0360012203803518,0.042920096452643254,2560.0,13.9404606368381,9.76523325063757,0.661845526936018,50.1608437902034,20.2616167953849,0.006982229422259922
27,39.3975041572075,1.79023996150722,9.43694045304326,1.64619696667286,14.1186915111023,22.9096630187992,8.2969049321915,2.40385899947622,1474.0670816997472,1520.599999999993,0.037831790908165505,0.044837266556241775,2540.0,13.8539988380618,9.61114204897496,0.668913673454706,50.0660667416303,20.4098786978783,0.00707022168327561
28,39.4407164624795,1.77769548909182,9.5898554294548,1.63437237896608,13.997950695236,22.8094205079625,8.33152345103153,2.4184655857777,1472.593794233928,1518.8999999999937,0.039764059798637216,0.0467674063645261,2520.0,13.7770104061665,9.46293446596295,0.66837653001004,50.0000925080662,20.5115860897943,0.007078760114488881
29,39.4852339799696,1.76447641258481,9.74326577742965,1.62221669969251,13.8769830442498,22.7090231129003,8.36754933773863,2.43125163543464,1471.1143017672896,1517.1999999999935,0.04169632868910805,0.04871021816181523,2500.0,13.6956462022949,9.31339879138842,0.67142850044247,49.9321350927965,20.6173914130777,0.007125421844873927
30,39.5314712018843,1.75317364217823,9.89940492736338,1.60954021853646,13.7587516924118,22.597663866317,8.39425554202687,2.45573890928198,1469.6287346455372,1515.2999999999943,0.04373029594223502,0.05066542616513756,2480.0,13.6317332136211,9.16296180666558,0.652699235605836,49.840716499735,20.7418892443725,0.006941393551056428
